iter	Logloss
0	0.6731878255
1	0.6552677083
2	0.6390757812
3	0.6227767578
4	0.6085900391
5	0.5943242187
6	0.581941276
7	0.5681962891
8	0.5555011068
9	0.543515918
10	0.5326602865
11	0.5221092773
12	0.512433138
13	0.5036016276
14	0.495449349
15	0.4886799805
16	0.4812722656
17	0.475235612
18	0.4694244792
19	0.4626416992
20	0.4565091797
21	0.4515238281
22	0.4457438151
23	0.4411328451
24	0.4364334961
25	0.4312640951
26	0.4274068359
27	0.4234207682
28	0.4201070964
29	0.4157341797
30	0.4122847982
31	0.4087720052
32	0.4049227865
33	0.40253125
34	0.3996076823
35	0.3970410156
36	0.3937791667
37	0.3917141602
38	0.3896488281
39	0.387838151
40	0.3855954427
41	0.3831819987
42	0.3814723958
43	0.3793214844
44	0.3770522135
45	0.3757857422
46	0.374002474
47	0.3722610677
48	0.370963151
49	0.3689525065
50	0.3676997721
51	0.3662773112
52	0.3651542969
53	0.3640554362
54	0.3630460938
55	0.3618525391
56	0.3610516276
57	0.3598869141
58	0.3586149089
59	0.3579007487
60	0.3565154297
61	0.3557575195
62	0.3549011068
63	0.3538939453
64	0.3531582682
65	0.3524307943
66	0.3515103841
67	0.3509133464
68	0.3501291016
69	0.3494638021
70	0.3486276042
71	0.3480298828
72	0.3473666667
73	0.3466761068
74	0.3459671875
75	0.3453207031
76	0.3449287435
77	0.3443452148
78	0.343776237
79	0.3432328776
80	0.342506543
81	0.3419128581
82	0.3415022135
83	0.3411602214
84	0.3404196615
85	0.3402110677
86	0.3399207031
87	0.3393913737
88	0.3390964844
89	0.3386619141
90	0.338286849
91	0.3381234701
92	0.3378970703
93	0.3375054036
94	0.3371216146
95	0.3367102214
96	0.3361069336
97	0.3357569987
98	0.335538737
99	0.3352137044
100	0.3347857422
101	0.3346859375
102	0.3344626953
103	0.3339699219
104	0.3334619792
105	0.3333377604
106	0.3329816406
107	0.3327070964
108	0.3323895508
109	0.3321640299
110	0.3318910156
111	0.3314403646
112	0.3311828776
113	0.3309526693
114	0.3307438151
115	0.3305268229
116	0.3303019531
117	0.3300132161
118	0.3298209635
119	0.3296045573
120	0.3293722656
121	0.3290533529
122	0.3285426107
123	0.3282387044
124	0.3280056641
125	0.327806543
126	0.3276222005
127	0.3274246745
128	0.327003125
129	0.3269238281
130	0.3268041016
131	0.3266916667
132	0.3263294922
133	0.3261245443
134	0.325875944
135	0.3257158529
136	0.3255656901
137	0.3252594076
138	0.3251158854
139	0.3248657878
140	0.324602181
141	0.3244094401
142	0.324270638
143	0.3241597331
144	0.3238727214
145	0.323653125
146	0.3233208333
147	0.3231531901
148	0.3229658854
149	0.3228164714
150	0.3226072917
151	0.3223990234
152	0.3222839844
153	0.3220350911
154	0.321814388
155	0.3214465169
156	0.3213337891
157	0.3210583333
158	0.3209513346
159	0.3207032552
160	0.3205457357
161	0.3204548503
162	0.3203385091
163	0.3201238281
164	0.3198824219
165	0.319733138
166	0.3195288086
167	0.3192303385
168	0.3190873372
169	0.3187925781
170	0.3185005534
171	0.3183115885
172	0.3181257813
173	0.317854069
174	0.3176954427
175	0.3174513997
176	0.3172460938
177	0.3169751953
178	0.3168707682
179	0.3166495443
180	0.3165560221
181	0.3163823893
182	0.3161007813
183	0.3159372396
184	0.3157688151
185	0.3155766276
186	0.3154501302
187	0.3152895508
188	0.3150110026
189	0.3148906901
190	0.3147723958
191	0.3145605469
192	0.3143831706
193	0.314280013
194	0.3141031576
195	0.314019694
196	0.3139343099
197	0.3137880859
198	0.313696224
199	0.3135196615
200	0.3134009115
201	0.3131802409
202	0.3130321615
203	0.3129470052
204	0.3128051432
205	0.3126554687
206	0.3125069661
207	0.312337793
208	0.3120931641
209	0.3119326823
210	0.3117621094
211	0.3116833008
212	0.3114877604
213	0.3113736979
214	0.3112530273
215	0.3110526693
216	0.310838737
217	0.3106032227
218	0.3104642253
219	0.3103012044
220	0.3102539062
221	0.3101316081
222	0.3099232422
223	0.3098434245
224	0.3097555013
225	0.30945
226	0.3093817708
227	0.309275293
228	0.3091032878
229	0.3089967448
230	0.3088080729
231	0.3086900391
232	0.3085895182
233	0.3084507812
234	0.3082345052
235	0.308136263
236	0.3079328451
237	0.3077884766
238	0.3076175781
239	0.3075016276
240	0.3074124023
241	0.3073355469
242	0.3071624349
243	0.3069585286
244	0.3068266927
245	0.306685612
246	0.3065515625
247	0.3064470052
248	0.3062349284
249	0.3060741536
250	0.3060009766
251	0.3059219727
252	0.3057975586
253	0.3056888997
254	0.3055405924
255	0.3054442057
256	0.3053933919
257	0.3052376953
258	0.3051282552
259	0.3049659505
260	0.304886849
261	0.3048079102
262	0.3046726563
263	0.3045421224
264	0.3043717448
265	0.3042142578
266	0.3041087891
267	0.3038492839
268	0.3037624349
269	0.3036236328
270	0.3034664714
271	0.3032482422
272	0.303096875
273	0.3029811849
274	0.3029205078
275	0.3028408529
276	0.3026080404
277	0.3024286458
278	0.3022598307
279	0.3021517578
280	0.3020352865
281	0.3018571615
282	0.3017447266
283	0.3016839844
284	0.3015302734
285	0.3013669596
286	0.3011952799
287	0.3011020833
288	0.3009126302
289	0.3008504557
290	0.3006783854
291	0.3005197917
292	0.3003432617
293	0.300271224
294	0.3001404948
295	0.2999577148
296	0.2998000326
297	0.2997354167
298	0.2996193359
299	0.2994871094
300	0.299375651
301	0.2993669596
302	0.2992117839
303	0.299061263
304	0.298896875
305	0.2988304688
306	0.2986874349
307	0.2985791667
308	0.2984357422
309	0.298236556
310	0.2980195313
311	0.2978501302
312	0.2977957357
313	0.297625293
314	0.2974128255
315	0.2972962891
316	0.2971866862
