iter	Passed	Remaining
0	8	8970
1	18	9239
2	25	8466
3	32	8149
4	37	7495
5	43	7254
6	51	7237
7	58	7222
8	67	7466
9	76	7597
10	85	7644
11	92	7619
12	100	7618
13	107	7565
14	114	7505
15	120	7415
16	129	7492
17	137	7490
18	144	7441
19	152	7480
20	163	7624
21	171	7638
22	180	7688
23	193	7852
24	203	7943
25	212	7953
26	221	7991
27	230	8007
28	238	7988
29	247	7987
30	255	8001
31	264	7991
32	272	7978
33	280	7979
34	288	7958
35	297	7972
36	305	7952
37	314	7971
38	323	7975
39	333	7994
40	342	8017
41	351	8022
42	364	8118
43	374	8131
44	382	8116
45	395	8207
46	402	8168
47	411	8151
48	418	8125
49	426	8095
50	433	8062
51	440	8029
52	448	8011
53	455	7977
54	462	7948
55	470	7923
56	477	7895
57	483	7857
58	490	7817
59	496	7782
60	502	7742
61	509	7705
62	515	7671
63	522	7648
64	529	7619
65	536	7592
66	543	7562
67	549	7535
68	556	7513
69	563	7483
70	573	7503
71	581	7493
72	588	7476
73	595	7451
74	603	7446
75	612	7448
76	620	7433
77	628	7423
78	634	7397
79	640	7368
80	647	7347
81	654	7325
82	661	7304
83	668	7286
84	675	7266
85	679	7223
86	686	7204
87	693	7186
88	700	7170
89	708	7163
90	717	7166
91	724	7147
92	731	7138
93	739	7127
94	746	7110
95	753	7093
96	759	7074
97	767	7063
98	775	7057
99	782	7038
100	789	7026
101	794	6998
102	802	6989
103	809	6971
104	815	6952
105	821	6929
106	828	6910
107	834	6894
108	840	6873
109	847	6853
110	853	6835
111	859	6816
112	866	6799
113	872	6778
114	879	6767
115	887	6760
116	895	6758
117	902	6742
118	909	6730
119	916	6719
120	922	6701
121	928	6685
122	935	6667
123	941	6653
124	948	6636
125	954	6621
126	960	6604
127	967	6592
128	975	6586
129	981	6570
130	989	6566
131	997	6562
132	1006	6563
133	1015	6560
134	1022	6552
135	1028	6535
136	1035	6523
137	1041	6507
138	1049	6498
139	1055	6481
140	1061	6463
141	1067	6448
142	1073	6431
143	1079	6414
144	1084	6397
145	1090	6379
146	1097	6368
147	1103	6352
148	1109	6336
149	1115	6321
150	1121	6308
151	1129	6301
152	1135	6286
153	1141	6270
154	1147	6254
155	1152	6237
156	1160	6228
157	1166	6217
158	1175	6219
159	1182	6209
160	1189	6196
161	1195	6184
162	1202	6175
163	1209	6166
164	1216	6154
165	1221	6139
166	1227	6122
167	1233	6108
168	1239	6094
169	1244	6077
170	1253	6075
171	1259	6063
172	1265	6051
173	1272	6040
174	1278	6027
175	1285	6017
176	1291	6005
177	1297	5992
178	1304	5981
179	1310	5970
180	1317	5963
181	1323	5948
182	1329	5937
183	1337	5930
184	1343	5917
185	1349	5905
186	1355	5892
187	1361	5878
188	1367	5865
189	1372	5852
190	1379	5841
191	1386	5833
192	1392	5821
193	1399	5815
194	1406	5805
195	1419	5822
196	1436	5856
197	1450	5876
198	1461	5884
199	1468	5875
200	1483	5895
201	1491	5890
202	1500	5889
203	1506	5879
204	1512	5866
205	1518	5854
206	1524	5841
207	1530	5828
208	1537	5819
209	1544	5810
210	1553	5810
211	1560	5800
212	1567	5791
213	1573	5779
214	1581	5774
215	1588	5764
216	1595	5755
217	1601	5745
218	1607	5733
219	1615	5726
220	1622	5720
221	1629	5710
222	1636	5700
223	1642	5690
224	1649	5680
225	1655	5670
226	1662	5659
227	1668	5649
228	1674	5638
229	1681	5629
230	1688	5620
231	1694	5610
232	1701	5600
233	1707	5590
234	1714	5580
235	1720	5571
236	1727	5562
237	1734	5553
238	1741	5544
239	1748	5535
240	1756	5530
241	1763	5524
242	1770	5514
243	1776	5503
244	1783	5494
245	1790	5487
246	1798	5482
247	1804	5472
248	1811	5463
249	1818	5454
250	1824	5444
251	1831	5435
252	1837	5425
253	1843	5414
254	1849	5404
255	1856	5394
256	1862	5383
257	1868	5374
258	1874	5364
259	1880	5353
260	1886	5342
261	1893	5332
262	1902	5330
263	1910	5326
264	1916	5315
265	1922	5305
266	1929	5298
267	1937	5293
268	1945	5286
269	1951	5277
270	1961	5277
271	1968	5269
272	1976	5262
273	1983	5255
274	1990	5248
275	1998	5241
276	2004	5233
277	2011	5223
278	2018	5215
279	2024	5206
280	2031	5198
281	2038	5190
282	2045	5182
283	2052	5173
284	2058	5165
285	2066	5158
286	2073	5150
287	2080	5143
288	2087	5135
289	2095	5129
290	2102	5122
291	2110	5116
292	2117	5109
293	2125	5103
294	2132	5095
295	2139	5089
296	2146	5081
297	2153	5072
298	2159	5062
299	2166	5055
300	2174	5048
301	2178	5035
302	2185	5027
303	2192	5019
304	2199	5011
305	2207	5006
306	2214	4998
307	2221	4990
308	2228	4983
309	2235	4975
310	2243	4970
311	2250	4962
312	2257	4954
313	2264	4947
314	2272	4940
315	2279	4933
316	2286	4925
317	2292	4917
318	2299	4908
319	2305	4900
320	2312	4892
321	2319	4883
322	2326	4876
323	2332	4867
324	2338	4857
325	2345	4849
326	2352	4840
327	2358	4832
328	2364	4822
329	2372	4815
330	2382	4814
331	2388	4806
332	2396	4799
333	2402	4790
334	2409	4782
335	2416	4775
336	2423	4767
337	2429	4758
338	2435	4749
339	2442	4740
340	2448	4731
341	2453	4721
342	2461	4714
343	2467	4704
344	2473	4695
345	2480	4688
346	2486	4679
347	2493	4672
348	2501	4665
349	2508	4659
350	2515	4650
351	2522	4643
352	2530	4637
353	2537	4629
354	2543	4622
355	2550	4614
356	2557	4606
357	2563	4597
358	2571	4591
359	2578	4584
360	2586	4577
361	2593	4570
362	2600	4563
363	2609	4559
364	2629	4574
365	2641	4575
366	2653	4576
367	2660	4569
368	2670	4566
369	2681	4565
370	2692	4564
371	2701	4561
372	2709	4555
373	2716	4546
374	2722	4538
375	2729	4530
376	2736	4522
377	2744	4516
378	2750	4507
379	2757	4499
380	2766	4495
381	2775	4490
382	2784	4486
383	2793	4481
384	2801	4474
385	2808	4467
386	2815	4459
387	2822	4452
388	2829	4444
389	2836	4437
390	2844	4430
391	2851	4422
392	2858	4415
393	2866	4409
394	2874	4402
395	2881	4395
396	2889	4388
397	2896	4380
398	2905	4376
399	2912	4368
400	2919	4361
401	2927	4354
402	2934	4347
403	2941	4339
404	2949	4332
405	2957	4326
406	2966	4322
407	2973	4314
408	2981	4308
409	2989	4302
410	2997	4295
411	3005	4288
412	3013	4282
413	3020	4275
414	3027	4267
415	3034	4260
416	3041	4252
417	3048	4245
418	3055	4237
419	3062	4228
420	3068	4220
421	3076	4213
422	3082	4205
423	3089	4197
424	3096	4189
425	3103	4182
426	3110	4174
427	3117	4166
428	3123	4157
429	3130	4150
430	3137	4142
431	3145	4135
432	3154	4130
433	3166	4129
434	3174	4123
435	3182	4117
436	3189	4108
437	3196	4101
438	3203	4093
439	3212	4088
440	3221	4083
441	3230	4078
442	3237	4070
443	3245	4064
444	3253	4057
445	3261	4050
446	3267	4042
447	3274	4034
448	3281	4026
449	3287	4018
450	3293	4009
451	3299	4000
452	3306	3992
453	3312	3983
454	3319	3975
455	3324	3966
456	3330	3957
457	3336	3947
458	3341	3938
459	3348	3930
460	3353	3921
461	3360	3913
462	3368	3906
463	3375	3899
464	3382	3891
465	3389	3883
466	3395	3875
467	3402	3867
468	3410	3861
469	3417	3854
470	3423	3845
471	3429	3836
472	3435	3828
473	3441	3819
474	3447	3810
475	3453	3801
476	3459	3792
477	3465	3784
478	3471	3775
479	3477	3767
480	3483	3758
481	3489	3749
482	3495	3741
483	3501	3733
484	3507	3724
485	3513	3716
486	3519	3707
487	3525	3698
488	3531	3690
489	3536	3681
490	3543	3673
491	3550	3665
492	3558	3659
493	3565	3652
494	3572	3644
495	3578	3636
496	3585	3629
497	3592	3621
498	3598	3613
499	3605	3605
500	3611	3597
501	3618	3589
502	3624	3580
503	3629	3572
504	3636	3564
505	3643	3556
506	3649	3548
507	3655	3540
508	3661	3532
509	3667	3523
510	3673	3515
511	3679	3507
512	3685	3498
513	3691	3490
514	3697	3482
515	3703	3474
516	3709	3466
517	3716	3458
518	3722	3450
519	3729	3442
520	3735	3434
521	3741	3426
522	3748	3419
523	3754	3410
524	3761	3403
525	3768	3396
526	3775	3388
527	3781	3380
528	3788	3372
529	3795	3365
530	3802	3358
531	3810	3352
532	3819	3346
533	3826	3339
534	3832	3330
535	3838	3322
536	3844	3314
537	3850	3306
538	3856	3298
539	3862	3290
540	3868	3282
541	3875	3274
542	3881	3266
543	3887	3258
544	3893	3250
545	3899	3242
546	3905	3234
547	3911	3225
548	3917	3217
549	3923	3209
550	3928	3201
551	3935	3194
552	3942	3186
553	3948	3178
554	3954	3170
555	3961	3163
556	3969	3157
557	3976	3149
558	3983	3142
559	3990	3135
560	3998	3128
561	4006	3122
562	4014	3115
563	4020	3108
564	4027	3100
565	4034	3093
566	4040	3085
567	4047	3078
568	4054	3071
569	4061	3063
570	4067	3056
571	4074	3048
572	4080	3040
573	4087	3033
574	4094	3026
575	4101	3018
576	4108	3011
577	4114	3004
578	4121	2996
579	4128	2989
580	4135	2982
581	4143	2975
582	4150	2968
583	4157	2961
584	4164	2954
585	4170	2946
586	4177	2939
587	4205	2946
588	4217	2942
589	4228	2938
590	4236	2931
591	4245	2926
592	4253	2919
593	4267	2917
594	4277	2911
595	4286	2905
596	4294	2899
597	4301	2891
598	4307	2883
599	4314	2876
600	4320	2868
601	4326	2860
602	4332	2852
603	4341	2846
604	4349	2839
605	4355	2831
606	4362	2824
607	4368	2816
608	4375	2809
609	4382	2801
610	4388	2794
611	4397	2788
612	4405	2781
613	4412	2773
614	4418	2765
615	4426	2759
616	4433	2751
617	4439	2744
618	4445	2736
